                                                               24 Nov 2018 18:33:56
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
30 Nov 2018 12:30:07.000         -0.016                                            
                                                               6.826    2349.184612
30 Nov 2018 12:30:08.000          0.004                        6.823    2348.536190
30 Nov 2018 12:30:09.000          0.034                        6.803    2343.846948
30 Nov 2018 12:30:10.000          0.064                        6.783    2339.171617
30 Nov 2018 12:30:11.000          0.094                        6.762    2334.510285
30 Nov 2018 12:30:12.000          0.124                        6.742    2329.863043
30 Nov 2018 12:30:13.000          0.154                        6.721    2325.229981
30 Nov 2018 12:30:14.000          0.185                        6.700    2320.611189
30 Nov 2018 12:30:15.000          0.215                        6.679    2316.006760
30 Nov 2018 12:30:16.000          0.246                        6.658    2311.416784
30 Nov 2018 12:30:17.000          0.277                        6.637    2306.841354
30 Nov 2018 12:30:18.000          0.308                        6.616    2302.280562
30 Nov 2018 12:30:19.000          0.340                        6.594    2297.734501
30 Nov 2018 12:30:20.000          0.371                        6.573    2293.203264
30 Nov 2018 12:30:21.000          0.403                        6.551    2288.686945
30 Nov 2018 12:30:22.000          0.434                        6.529    2284.185638
30 Nov 2018 12:30:23.000          0.466                        6.507    2279.699437
30 Nov 2018 12:30:24.000          0.498                        6.485    2275.228438
30 Nov 2018 12:30:25.000          0.530                        6.463    2270.772737
30 Nov 2018 12:30:26.000          0.562                        6.440    2266.332427
30 Nov 2018 12:30:27.000          0.594                        6.418    2261.907607
30 Nov 2018 12:30:28.000          0.626                        6.395    2257.498373
30 Nov 2018 12:30:29.000          0.658                        6.372    2253.104821
30 Nov 2018 12:30:30.000          0.691                        6.349    2248.727048
30 Nov 2018 12:30:31.000          0.723                        6.326    2244.365154
30 Nov 2018 12:30:32.000          0.756                        6.303    2240.019236
30 Nov 2018 12:30:33.000          0.788                        6.279    2235.689391
