                                                               24 Nov 2018 14:30:26
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
24 Nov 2018 22:25:20.000          0.014                       10.550    2305.133397
24 Nov 2018 22:25:21.000          0.061                       10.550    2297.872550
24 Nov 2018 22:25:22.000          0.109                       10.549    2290.611883
24 Nov 2018 22:25:23.000          0.157                       10.549    2283.351408
24 Nov 2018 22:25:24.000          0.206                       10.549    2276.091135
24 Nov 2018 22:25:25.000          0.256                       10.549    2268.831076
24 Nov 2018 22:25:26.000          0.307                       10.548    2261.571243
24 Nov 2018 22:25:27.000          0.358                       10.548    2254.311646
24 Nov 2018 22:25:28.000          0.410                       10.547    2247.052298
24 Nov 2018 22:25:29.000          0.462                       10.547    2239.793211
24 Nov 2018 22:25:30.000          0.515                       10.547    2232.534396
24 Nov 2018 22:25:31.000          0.569                       10.546    2225.275865
24 Nov 2018 22:25:32.000          0.623                       10.546    2218.017632
24 Nov 2018 22:25:33.000          0.678                       10.545    2210.759707
24 Nov 2018 22:25:34.000          0.733                       10.545    2203.502104
24 Nov 2018 22:25:35.000          0.789                       10.544    2196.244835
24 Nov 2018 22:25:36.000          0.845                       10.544    2188.987913
24 Nov 2018 22:25:37.000          0.902                       10.543    2181.731350
24 Nov 2018 22:25:38.000          0.959                       10.543    2174.475160
24 Nov 2018 22:25:39.000          1.017                       10.542    2167.219356
24 Nov 2018 22:25:40.000          1.075                       10.542    2159.963951
24 Nov 2018 22:25:41.000          1.134                       10.541    2152.708959
24 Nov 2018 22:25:42.000          1.193                       10.540    2145.454393
24 Nov 2018 22:25:43.000          1.253                       10.540    2138.200266
24 Nov 2018 22:25:44.000          1.313                       10.539    2130.946594
24 Nov 2018 22:25:45.000          1.374                       10.538    2123.693389
24 Nov 2018 22:25:46.000          1.435                       10.538    2116.440666
24 Nov 2018 22:25:47.000          1.496                       10.537    2109.188439
24 Nov 2018 22:25:48.000          1.558                       10.536    2101.936724
24 Nov 2018 22:25:49.000          1.621                       10.535    2094.685533
24 Nov 2018 22:25:50.000          1.684                       10.535    2087.434884
24 Nov 2018 22:25:51.000          1.747                       10.534    2080.184789
24 Nov 2018 22:25:52.000          1.811                       10.533    2072.935265
24 Nov 2018 22:25:53.000          1.875                       10.532    2065.686328
24 Nov 2018 22:25:54.000          1.939                       10.531    2058.437992
24 Nov 2018 22:25:55.000          2.004                       10.530    2051.190273
24 Nov 2018 22:25:56.000          2.070                       10.529    2043.943187
24 Nov 2018 22:25:57.000          2.136                       10.528    2036.696751
24 Nov 2018 22:25:58.000          2.202                       10.527    2029.450981
24 Nov 2018 22:25:59.000          2.269                       10.526    2022.205892
24 Nov 2018 22:26:00.000          2.336                       10.525    2014.961503
24 Nov 2018 22:26:01.000          2.403                       10.524    2007.717830
24 Nov 2018 22:26:02.000          2.471                       10.523    2000.474890
24 Nov 2018 22:26:03.000          2.539                       10.522    1993.232700
24 Nov 2018 22:26:04.000          2.608                       10.521    1985.991278
24 Nov 2018 22:26:05.000          2.677                       10.520    1978.750642
24 Nov 2018 22:26:06.000          2.747                       10.519    1971.510809
24 Nov 2018 22:26:07.000          2.817                       10.517    1964.271799
24 Nov 2018 22:26:08.000          2.887                       10.516    1957.033629
24 Nov 2018 22:26:09.000          2.958                       10.515    1949.796318
24 Nov 2018 22:26:10.000          3.029                       10.514    1942.559885
24 Nov 2018 22:26:11.000          3.101                       10.512    1935.324350
24 Nov 2018 22:26:12.000          3.173                       10.511    1928.089731
24 Nov 2018 22:26:13.000          3.246                       10.510    1920.856049
24 Nov 2018 22:26:14.000          3.319                       10.508    1913.623323
24 Nov 2018 22:26:15.000          3.392                       10.507    1906.391574
24 Nov 2018 22:26:16.000          3.466                       10.505    1899.160822
24 Nov 2018 22:26:17.000          3.540                       10.504    1891.931088
24 Nov 2018 22:26:18.000          3.614                       10.502    1884.702393
24 Nov 2018 22:26:19.000          3.690                       10.501    1877.474758
24 Nov 2018 22:26:20.000          3.765                       10.499    1870.248204
24 Nov 2018 22:26:21.000          3.841                       10.498    1863.022755
24 Nov 2018 22:26:22.000          3.917                       10.496    1855.798431
24 Nov 2018 22:26:23.000          3.994                       10.494    1848.575256
24 Nov 2018 22:26:24.000          4.071                       10.493    1841.353253
24 Nov 2018 22:26:25.000          4.149                       10.491    1834.132443
24 Nov 2018 22:26:26.000          4.227                       10.489    1826.912852
24 Nov 2018 22:26:27.000          4.305                       10.487    1819.694502
24 Nov 2018 22:26:28.000          4.384                       10.485    1812.477418
24 Nov 2018 22:26:29.000          4.464                       10.483    1805.261625
24 Nov 2018 22:26:30.000          4.544                       10.481    1798.047147
