                                                               24 Nov 2018 14:12:30
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
28 Nov 2018 23:12:47.000         -0.007                                            
                                                               8.824    2309.722106
28 Nov 2018 23:12:48.000          0.032                        8.816    2304.692953
28 Nov 2018 23:12:49.000          0.072                        8.806    2298.628687
28 Nov 2018 23:12:50.000          0.112                        8.796    2292.571367
28 Nov 2018 23:12:51.000          0.153                        8.785    2286.521054
28 Nov 2018 23:12:52.000          0.194                        8.775    2280.477811
28 Nov 2018 23:12:53.000          0.235                        8.765    2274.441703
28 Nov 2018 23:12:54.000          0.277                        8.754    2268.412793
28 Nov 2018 23:12:55.000          0.319                        8.744    2262.391147
28 Nov 2018 23:12:56.000          0.362                        8.733    2256.376829
28 Nov 2018 23:12:57.000          0.405                        8.722    2250.369906
28 Nov 2018 23:12:58.000          0.448                        8.711    2244.370444
28 Nov 2018 23:12:59.000          0.492                        8.700    2238.378511
28 Nov 2018 23:13:00.000          0.536                        8.689    2232.394175
28 Nov 2018 23:13:01.000          0.580                        8.678    2226.417503
28 Nov 2018 23:13:02.000          0.625                        8.667    2220.448565
28 Nov 2018 23:13:03.000          0.670                        8.655    2214.487430
28 Nov 2018 23:13:04.000          0.715                        8.644    2208.534170
28 Nov 2018 23:13:05.000          0.761                        8.632    2202.588854
28 Nov 2018 23:13:06.000          0.807                        8.620    2196.651556
28 Nov 2018 23:13:07.000          0.853                        8.609    2190.722346
28 Nov 2018 23:13:08.000          0.899                        8.597    2184.801297
28 Nov 2018 23:13:09.000          0.946                        8.585    2178.888485
28 Nov 2018 23:13:10.000          0.993                        8.573    2172.983982
28 Nov 2018 23:13:11.000          1.040                        8.560    2167.087864
28 Nov 2018 23:13:12.000          1.088                        8.548    2161.200206
28 Nov 2018 23:13:13.000          1.136                        8.536    2155.321086
28 Nov 2018 23:13:14.000          1.184                        8.523    2149.450579
28 Nov 2018 23:13:15.000          1.232                        8.510    2143.588764
