                                                               24 Nov 2018 14:32:29
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
29 Nov 2018 22:15:00.000         -0.038                                            
                                                              10.613    2307.629498
29 Nov 2018 22:15:01.000          0.005                       10.613    2306.855840
29 Nov 2018 22:15:02.000          0.052                       10.613    2299.551788
29 Nov 2018 22:15:03.000          0.100                       10.613    2292.247676
29 Nov 2018 22:15:04.000          0.149                       10.613    2284.943514
29 Nov 2018 22:15:05.000          0.199                       10.613    2277.639310
29 Nov 2018 22:15:06.000          0.249                       10.613    2270.335073
29 Nov 2018 22:15:07.000          0.300                       10.613    2263.030814
29 Nov 2018 22:15:08.000          0.351                       10.613    2255.726540
29 Nov 2018 22:15:09.000          0.403                       10.613    2248.422262
29 Nov 2018 22:15:10.000          0.456                       10.613    2241.117989
29 Nov 2018 22:15:11.000          0.509                       10.613    2233.813731
29 Nov 2018 22:15:12.000          0.563                       10.613    2226.509497
29 Nov 2018 22:15:13.000          0.617                       10.613    2219.205298
29 Nov 2018 22:15:14.000          0.672                       10.613    2211.901143
29 Nov 2018 22:15:15.000          0.728                       10.613    2204.597042
29 Nov 2018 22:15:16.000          0.784                       10.613    2197.293006
29 Nov 2018 22:15:17.000          0.840                       10.613    2189.989044
29 Nov 2018 22:15:18.000          0.897                       10.612    2182.685167
29 Nov 2018 22:15:19.000          0.955                       10.612    2175.381385
29 Nov 2018 22:15:20.000          1.013                       10.612    2168.077710
29 Nov 2018 22:15:21.000          1.072                       10.612    2160.774151
29 Nov 2018 22:15:22.000          1.131                       10.612    2153.470719
29 Nov 2018 22:15:23.000          1.191                       10.611    2146.167425
29 Nov 2018 22:15:24.000          1.251                       10.611    2138.864281
29 Nov 2018 22:15:25.000          1.311                       10.611    2131.561297
29 Nov 2018 22:15:26.000          1.372                       10.611    2124.258484
29 Nov 2018 22:15:27.000          1.434                       10.611    2116.955854
29 Nov 2018 22:15:28.000          1.496                       10.610    2109.653419
29 Nov 2018 22:15:29.000          1.558                       10.610    2102.351189
29 Nov 2018 22:15:30.000          1.621                       10.610    2095.049178
29 Nov 2018 22:15:31.000          1.684                       10.609    2087.747395
29 Nov 2018 22:15:32.000          1.748                       10.609    2080.445854
29 Nov 2018 22:15:33.000          1.812                       10.608    2073.144567
29 Nov 2018 22:15:34.000          1.877                       10.608    2065.843545
29 Nov 2018 22:15:35.000          1.942                       10.608    2058.542802
29 Nov 2018 22:15:36.000          2.007                       10.607    2051.242350
29 Nov 2018 22:15:37.000          2.073                       10.607    2043.942201
29 Nov 2018 22:15:38.000          2.140                       10.606    2036.642368
29 Nov 2018 22:15:39.000          2.206                       10.606    2029.342864
29 Nov 2018 22:15:40.000          2.274                       10.605    2022.043703
29 Nov 2018 22:15:41.000          2.341                       10.605    2014.744898
29 Nov 2018 22:15:42.000          2.409                       10.604    2007.446462
29 Nov 2018 22:15:43.000          2.478                       10.604    2000.148408
29 Nov 2018 22:15:44.000          2.547                       10.603    1992.850751
29 Nov 2018 22:15:45.000          2.616                       10.603    1985.553504
29 Nov 2018 22:15:46.000          2.686                       10.602    1978.256682
29 Nov 2018 22:15:47.000          2.756                       10.601    1970.960298
29 Nov 2018 22:15:48.000          2.827                       10.601    1963.664368
29 Nov 2018 22:15:49.000          2.898                       10.600    1956.368905
29 Nov 2018 22:15:50.000          2.969                       10.599    1949.073925
29 Nov 2018 22:15:51.000          3.041                       10.598    1941.779443
29 Nov 2018 22:15:52.000          3.113                       10.598    1934.485474
29 Nov 2018 22:15:53.000          3.186                       10.597    1927.192032
29 Nov 2018 22:15:54.000          3.259                       10.596    1919.899135
29 Nov 2018 22:15:55.000          3.333                       10.595    1912.606796
29 Nov 2018 22:15:56.000          3.407                       10.594    1905.315034
29 Nov 2018 22:15:57.000          3.481                       10.594    1898.023862
