                                                               24 Nov 2018 14:21:14
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
26 Nov 2018 11:42:30.000         -0.032                                            
                                                               9.926    2350.935451
26 Nov 2018 11:42:31.000          0.006                        9.926    2349.956105
26 Nov 2018 11:42:32.000          0.050                        9.921    2343.126262
26 Nov 2018 11:42:33.000          0.094                        9.917    2336.299420
26 Nov 2018 11:42:34.000          0.138                        9.913    2329.475613
26 Nov 2018 11:42:35.000          0.183                        9.908    2322.654878
26 Nov 2018 11:42:36.000          0.229                        9.903    2315.837251
26 Nov 2018 11:42:37.000          0.275                        9.899    2309.022769
26 Nov 2018 11:42:38.000          0.322                        9.894    2302.211468
26 Nov 2018 11:42:39.000          0.369                        9.890    2295.403385
26 Nov 2018 11:42:40.000          0.417                        9.885    2288.598559
26 Nov 2018 11:42:41.000          0.465                        9.880    2281.797027
26 Nov 2018 11:42:42.000          0.514                        9.875    2274.998828
26 Nov 2018 11:42:43.000          0.563                        9.870    2268.204001
26 Nov 2018 11:42:44.000          0.613                        9.865    2261.412585
26 Nov 2018 11:42:45.000          0.663                        9.860    2254.624620
26 Nov 2018 11:42:46.000          0.714                        9.855    2247.840147
26 Nov 2018 11:42:47.000          0.764                        9.850    2241.059206
26 Nov 2018 11:42:48.000          0.816                        9.845    2234.281837
26 Nov 2018 11:42:49.000          0.868                        9.839    2227.508084
26 Nov 2018 11:42:50.000          0.920                        9.834    2220.737986
26 Nov 2018 11:42:51.000          0.972                        9.829    2213.971588
26 Nov 2018 11:42:52.000          1.025                        9.823    2207.208933
26 Nov 2018 11:42:53.000          1.078                        9.818    2200.450062
26 Nov 2018 11:42:54.000          1.132                        9.812    2193.695021
26 Nov 2018 11:42:55.000          1.186                        9.806    2186.943854
26 Nov 2018 11:42:56.000          1.240                        9.801    2180.196605
26 Nov 2018 11:42:57.000          1.295                        9.795    2173.453320
26 Nov 2018 11:42:58.000          1.350                        9.789    2166.714046
26 Nov 2018 11:42:59.000          1.406                        9.783    2159.978828
26 Nov 2018 11:43:00.000          1.461                        9.777    2153.247713
26 Nov 2018 11:43:01.000          1.518                        9.771    2146.520749
26 Nov 2018 11:43:02.000          1.574                        9.765    2139.797984
26 Nov 2018 11:43:03.000          1.631                        9.759    2133.079466
26 Nov 2018 11:43:04.000          1.688                        9.752    2126.365244
26 Nov 2018 11:43:05.000          1.745                        9.746    2119.655369
26 Nov 2018 11:43:06.000          1.803                        9.740    2112.949891
26 Nov 2018 11:43:07.000          1.861                        9.733    2106.248859
26 Nov 2018 11:43:08.000          1.919                        9.726    2099.552327
26 Nov 2018 11:43:09.000          1.978                        9.720    2092.860345
26 Nov 2018 11:43:10.000          2.037                        9.713    2086.172966
26 Nov 2018 11:43:11.000          2.096                        9.706    2079.490244
26 Nov 2018 11:43:12.000          2.156                        9.699    2072.812232
26 Nov 2018 11:43:13.000          2.216                        9.692    2066.138985
26 Nov 2018 11:43:14.000          2.276                        9.685    2059.470558
26 Nov 2018 11:43:15.000          2.336                        9.678    2052.807007
26 Nov 2018 11:43:16.000          2.397                        9.671    2046.148388
